submissionId	country	date	genotype	season	switchseason	switch	seltype
MZ516064.1	Netherlands	2018-02-09	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
OQ595327.2	Kenya	2018-02-10	RSVA	2018	2018	RSVB->RSVA	replication
OQ595328.2	Kenya	2018-02-12	RSVA	2018	2018	RSVB->RSVA	replication
MW678331.1	Thailand	2018-02-12	RSVB	2018	2018	RSVB->RSVA	evasion
OQ595329.2	Kenya	2018-02-13	RSVA	2018	2018	RSVB->RSVA	replication
MZ515704.1	Netherlands	2018-02-14	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
OQ595330.2	Kenya	2018-02-15	RSVA	2018	2018	RSVB->RSVA	replication
OQ595331.2	Kenya	2018-02-16	RSVA	2018	2018	RSVB->RSVA	replication
OQ595332.2	Kenya	2018-02-19	RSVA	2018	2018	RSVB->RSVA	replication
OQ595333.2	Kenya	2018-02-19	RSVA	2018	2018	RSVB->RSVA	replication
OQ595334.2	Kenya	2018-02-19	RSVA	2018	2018	RSVB->RSVA	replication
OK299766.1	Netherlands	2018-02-20	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515754.1	Netherlands	2018-02-20	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
PP377308.1	Netherlands	2018-02-20	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
OQ595335.2	Kenya	2018-02-22	RSVA	2018	2018	RSVB->RSVA	replication
MZ515991.1	Netherlands	2018-02-22	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
OQ595338.2	Kenya	2018-02-23	RSVA	2018	2018	RSVB->RSVA	replication
OQ595336.2	Kenya	2018-02-23	RSVA	2018	2018	RSVB->RSVA	replication
OQ595337.2	Kenya	2018-02-23	RSVA	2018	2018	RSVB->RSVA	replication
MZ515868.1	Netherlands	2018-02-23	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
OQ595339.2	Kenya	2018-02-24	RSVA	2018	2018	RSVB->RSVA	replication
OQ595340.2	Kenya	2018-02-24	RSVA	2018	2018	RSVB->RSVA	replication
OQ595341.2	Kenya	2018-02-24	RSVA	2018	2018	RSVB->RSVA	replication
OQ595342.2	Kenya	2018-02-25	RSVA	2018	2018	RSVB->RSVA	replication
OQ595343.2	Kenya	2018-02-26	RSVA	2018	2018	RSVB->RSVA	replication
MW678267.1	Thailand	2018-02-28	RSVA	2018	2018	RSVB->RSVA	replication
OQ595344.2	Kenya	2018-03-01	RSVA	2018	2018	RSVB->RSVA	replication
OQ595345.2	Kenya	2018-03-01	RSVA	2018	2018	RSVB->RSVA	replication
OQ595346.2	Kenya	2018-03-03	RSVA	2018	2018	RSVB->RSVA	replication
OQ595348.2	Kenya	2018-03-04	RSVA	2018	2018	RSVB->RSVA	replication
OQ595347.2	Kenya	2018-03-04	RSVA	2018	2018	RSVB->RSVA	replication
OQ595349.2	Kenya	2018-03-05	RSVA	2018	2018	RSVB->RSVA	replication
OQ595350.2	Kenya	2018-03-06	RSVA	2018	2018	RSVB->RSVA	replication
OQ595354.2	Kenya	2018-03-07	RSVA	2018	2018	RSVB->RSVA	replication
OQ595352.2	Kenya	2018-03-07	RSVA	2018	2018	RSVB->RSVA	replication
OQ595353.2	Kenya	2018-03-07	RSVA	2018	2018	RSVB->RSVA	replication
OQ595351.2	Kenya	2018-03-07	RSVA	2018	2018	RSVB->RSVA	replication
OQ595356.2	Kenya	2018-03-09	RSVA	2018	2018	RSVB->RSVA	replication
OQ595355.2	Kenya	2018-03-09	RSVA	2018	2018	RSVB->RSVA	replication
OQ595357.2	Kenya	2018-03-10	RSVA	2018	2018	RSVB->RSVA	replication
OQ595260.2	Kenya	2018-03-11	RSVA	2018	2018	RSVB->RSVA	replication
OQ595261.2	Kenya	2018-03-11	RSVA	2018	2018	RSVB->RSVA	replication
OQ595264.2	Kenya	2018-03-12	RSVA	2018	2018	RSVB->RSVA	replication
OQ595358.2	Kenya	2018-03-12	RSVA	2018	2018	RSVB->RSVA	replication
OQ595263.2	Kenya	2018-03-12	RSVA	2018	2018	RSVB->RSVA	replication
OQ595262.2	Kenya	2018-03-12	RSVA	2018	2018	RSVB->RSVA	replication
OQ275665.1	Netherlands	2018-03-12	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
OQ278458.1	Netherlands	2018-03-12	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
OQ278457.1	Netherlands	2018-03-12	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
OQ595266.2	Kenya	2018-03-13	RSVA	2018	2018	RSVB->RSVA	replication
OQ595265.2	Kenya	2018-03-13	RSVA	2018	2018	RSVB->RSVA	replication
OQ595359.2	Kenya	2018-03-15	RSVA	2018	2018	RSVB->RSVA	replication
OQ595267.1	Kenya	2018-03-15	RSVA	2018	2018	RSVB->RSVA	replication
OQ595268.2	Kenya	2018-03-18	RSVA	2018	2018	RSVB->RSVA	replication
OQ595269.2	Kenya	2018-03-18	RSVA	2018	2018	RSVB->RSVA	replication
OQ595360.2	Kenya	2018-03-19	RSVA	2018	2018	RSVB->RSVA	replication
OQ595270.2	Kenya	2018-03-19	RSVA	2018	2018	RSVB->RSVA	replication
OQ595271.2	Kenya	2018-03-19	RSVA	2018	2018	RSVB->RSVA	replication
OQ595272.2	Kenya	2018-03-19	RSVA	2018	2018	RSVB->RSVA	replication
OQ595273.2	Kenya	2018-03-21	RSVA	2018	2018	RSVB->RSVA	replication
OQ595361.2	Kenya	2018-03-22	RSVA	2018	2018	RSVB->RSVA	replication
OQ595274.2	Kenya	2018-03-22	RSVA	2018	2018	RSVB->RSVA	replication
OQ595276.2	Kenya	2018-03-23	RSVA	2018	2018	RSVB->RSVA	replication
OQ595275.2	Kenya	2018-03-23	RSVA	2018	2018	RSVB->RSVA	replication
OQ595277.2	Kenya	2018-03-25	RSVA	2018	2018	RSVB->RSVA	replication
OQ595362.2	Kenya	2018-03-26	RSVA	2018	2018	RSVB->RSVA	replication
PP377055.1	Netherlands	2018-03-27	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515598.1	Netherlands	2018-03-27	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
OK299759.1	Netherlands	2018-03-27	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
OK299713.1	Netherlands	2018-03-27	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
OQ595278.2	Kenya	2018-03-28	RSVA	2018	2018	RSVB->RSVA	replication
MZ516094.1	Netherlands	2018-03-28	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
OQ595363.2	Kenya	2018-03-29	RSVA	2018	2018	RSVB->RSVA	replication
OQ595280.2	Kenya	2018-03-29	RSVA	2018	2018	RSVB->RSVA	replication
OQ595279.2	Kenya	2018-03-29	RSVA	2018	2018	RSVB->RSVA	replication
MZ515746.1	Netherlands	2018-03-29	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
OQ595281.2	Kenya	2018-03-31	RSVA	2018	2018	RSVB->RSVA	replication
OQ595282.2	Kenya	2018-04-01	RSVA	2018	2018	RSVB->RSVA	replication
OK299867.1	Netherlands	2018-04-01	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
OQ595364.2	Kenya	2018-04-02	RSVA	2018	2018	RSVB->RSVA	replication
OQ595283.2	Kenya	2018-04-02	RSVA	2018	2018	RSVB->RSVA	replication
OQ595366.2	Kenya	2018-04-03	RSVA	2018	2018	RSVB->RSVA	replication
OQ595285.2	Kenya	2018-04-04	RSVA	2018	2018	RSVB->RSVA	replication
OQ595284.2	Kenya	2018-04-04	RSVA	2018	2018	RSVB->RSVA	replication
