sample	name	start	end	depth
Yale-RSV-0029	Amplicon 27	7862	8262	38961
Yale-RSV-0029	Amplicon 28	8160	8574	3036
Yale-RSV-0029	Amplicon 29	8469	8877	30529
Yale-RSV-0029	Amplicon 30	8748	9155	19745
Yale-RSV-0029	Amplicon 31	9061	9467	30245
Yale-RSV-0029	Amplicon 32	9350	9754	43546
Yale-RSV-0029	Amplicon 33	9661	10226	8607
Yale-RSV-0029	Amplicon 34	9977	10382	5915
Yale-RSV-0029	Amplicon 35	10265	10670	7248
Yale-RSV-0029	Amplicon 36	10566	10978	39987
Yale-RSV-0029	Amplicon 37	10878	11285	86067
Yale-RSV-0029	Amplicon 38	11183	11587	22124
Yale-RSV-0029	Amplicon 39	11483	11880	14755
Yale-RSV-0029	Amplicon 40	11775	12186	18061
Yale-RSV-0029	Amplicon 41	12084	12500	76774
Yale-RSV-0029	Amplicon 42	12414	12820	37289
Yale-RSV-0029	Amplicon 43	12712	13121	18612
Yale-RSV-0029	Amplicon 44	13405	13058	-1
Yale-RSV-0029	Amplicon 45	13338	13749	9
Yale-RSV-0029	Amplicon 46	13618	14033	27065
Yale-RSV-0029	Amplicon 47	13962	14366	85654
Yale-RSV-0029	Amplicon 48	14251	14660	11575
Yale-RSV-0029	Amplicon 49	14578	14979	14179
Yale-RSV-0029	Amplicon 50	14768	15174	5053
sample	name	start	end	depth
Yale-RSV-0030	Amplicon 1	77	496	69097
Yale-RSV-0030	Amplicon 2	321	805	82810
Yale-RSV-0030	Amplicon 3	702	1115	238653
Yale-RSV-0030	Amplicon 4	943	1346	270341
Yale-RSV-0030	Amplicon 5	1226	1661	235069
Yale-RSV-0030	Amplicon 6	1546	1976	70318
Yale-RSV-0030	Amplicon 7	1867	2368	149034
Yale-RSV-0030	Amplicon 8	2236	2631	61182
Yale-RSV-0030	Amplicon 9	2541	2902	20385
Yale-RSV-0030	Amplicon 10	2762	3169	42376
Yale-RSV-0030	Amplicon 11	3085	3488	143732
Yale-RSV-0030	Amplicon 12	3398	3807	69105
Yale-RSV-0030	Amplicon 13	3722	4124	7854
Yale-RSV-0030	Amplicon 14	4407	4056	-1
Yale-RSV-0030	Amplicon 15	4323	4735	108882
Yale-RSV-0030	Amplicon 16	4654	5055	63237
Yale-RSV-0030	Amplicon 17	4967	5376	205002
Yale-RSV-0030	Amplicon 18	5203	5606	158753
Yale-RSV-0030	Amplicon 19	5503	5886	132583
Yale-RSV-0030	Amplicon 20	5782	6186	138361
Yale-RSV-0030	Amplicon 21	6064	6466	193223
Yale-RSV-0030	Amplicon 22	6377	6783	106088
Yale-RSV-0030	Amplicon 23	6680	7068	119140
Yale-RSV-0030	Amplicon 24	6979	7376	51310
Yale-RSV-0030	Amplicon 25	7273	7701	52093
Yale-RSV-0030	Amplicon 26	7627	7965	81652
Yale-RSV-0030	Amplicon 27	7862	8262	203266
Yale-RSV-0030	Amplicon 28	8160	8574	101411
Yale-RSV-0030	Amplicon 29	8469	8877	73133
Yale-RSV-0030	Amplicon 30	8748	9155	68659
Yale-RSV-0030	Amplicon 31	9061	9467	76284
Yale-RSV-0030	Amplicon 32	9350	9754	41068
Yale-RSV-0030	Amplicon 33	9661	10226	11957
Yale-RSV-0030	Amplicon 34	9977	10382	82353
Yale-RSV-0030	Amplicon 35	10265	10670	139968
Yale-RSV-0030	Amplicon 36	10566	10978	83662
Yale-RSV-0030	Amplicon 37	10878	11285	131481
Yale-RSV-0030	Amplicon 38	11183	11587	101647
Yale-RSV-0030	Amplicon 39	11483	11880	167210
Yale-RSV-0030	Amplicon 40	11775	12186	77468
Yale-RSV-0030	Amplicon 41	12084	12500	97777
Yale-RSV-0030	Amplicon 42	12414	12820	84211
Yale-RSV-0030	Amplicon 43	12712	13121	86066
Yale-RSV-0030	Amplicon 44	13405	13058	-1
Yale-RSV-0030	Amplicon 45	13338	13749	1618
Yale-RSV-0030	Amplicon 46	13618	14033	47667
